Source,Target,Number of samples,Correlation,Method,ROI,Image index
sub01,sub02,6000,0.011069051600844402,brain_loss,V4,7.0
sub01,sub02,6000,0.011103917924766036,brain_loss,V4,8.0
sub01,sub02,6000,0.026067877085752953,brain_loss,V4,9.0
sub01,sub02,6000,0.011462459776308337,brain_loss,V4,10.0
sub01,sub02,6000,0.014420765658455,brain_loss,V4,11.0
sub01,sub02,6000,0.014696899053503583,brain_loss,V4,12.0
sub01,sub02,6000,0.038961547373916175,brain_loss,V4,13.0
sub01,sub02,6000,0.017603462517918153,brain_loss,V4,14.0
sub01,sub02,6000,0.04592967512390584,brain_loss,V4,15.0
sub01,sub02,6000,0.030372056451666383,brain_loss,V4,16.0
sub01,sub02,6000,0.015119428945422795,brain_loss,V4,17.0
sub01,sub02,6000,0.010842348053938385,brain_loss,V4,18.0
sub01,sub02,6000,0.013838899280325752,brain_loss,V4,19.0
sub01,sub02,6000,0.011594019552972824,brain_loss,V4,20.0
sub01,sub02,6000,0.028361818386252284,brain_loss,V4,21.0
sub01,sub02,6000,0.05142799699780223,brain_loss,V4,22.0
sub01,sub02,6000,0.01644885571284627,brain_loss,V4,23.0
sub01,sub02,6000,0.01100847890805624,brain_loss,V4,24.0
sub01,sub02,6000,0.021475727126664696,brain_loss,V4,25.0
sub01,sub02,6000,0.018023123921336606,brain_loss,V4,26.0
sub01,sub02,6000,0.026032667273868586,brain_loss,V4,27.0
sub01,sub02,6000,0.024902098388695622,brain_loss,V4,28.0
sub01,sub02,6000,0.011660929704390264,brain_loss,V4,29.0
sub01,sub02,6000,0.016971755546705977,brain_loss,V4,30.0
sub01,sub02,6000,0.01473035584126254,brain_loss,V4,31.0
sub01,sub02,6000,0.031866372323031134,brain_loss,V4,32.0
sub01,sub02,6000,0.008683087203669873,brain_loss,V4,33.0
sub01,sub02,6000,0.017663539752261377,brain_loss,V4,34.0
sub01,sub02,6000,0.007930362360305263,brain_loss,V4,35.0
sub01,sub02,6000,0.02116101873428165,brain_loss,V4,36.0
sub01,sub02,6000,0.028249718319943537,brain_loss,V4,37.0
sub01,sub02,6000,0.03445222454186115,brain_loss,V4,38.0
sub01,sub02,6000,0.005155796757859939,brain_loss,V4,39.0
sub01,sub02,6000,0.014281615219752205,brain_loss,V4,40.0
sub01,sub02,6000,0.02000936086239035,brain_loss,V4,41.0
sub01,sub02,6000,0.030817452825334737,brain_loss,V4,42.0
sub01,sub02,6000,0.02153553701361703,brain_loss,V4,43.0
sub01,sub02,6000,0.009691316933071981,brain_loss,V4,44.0
sub01,sub02,6000,0.061408761333408585,brain_loss,V4,45.0
sub01,sub02,6000,0.0021457312186441545,brain_loss,V4,46.0
sub01,sub02,6000,0.020995889998619302,brain_loss,V4,47.0
sub01,sub02,6000,0.03191834204260955,brain_loss,V4,48.0
sub01,sub02,6000,0.020249724786841648,brain_loss,V4,49.0
sub01,sub02,6000,0.019452238359740727,brain_loss,V4,50.0
sub01,sub02,6000,0.00857502176001753,brain_loss,HVC,1.0
sub01,sub02,6000,0.04261300242729261,brain_loss,HVC,2.0
sub01,sub02,6000,0.023572504395836347,brain_loss,HVC,3.0
sub01,sub02,6000,0.025967817338247174,brain_loss,HVC,4.0
sub01,sub02,6000,0.006536388442569339,brain_loss,HVC,5.0
