Source,Target,Number of samples,Identification accuracy,Method,ROI,Layer
sub02,sub05,6000,0.9922448979591836,content_loss,VC,conv4
sub02,sub05,6000,0.9914285714285714,content_loss,VC,conv5
sub02,sub05,6000,0.9808163265306122,content_loss,VC,fc6
sub02,sub05,6000,0.9857142857142857,content_loss,VC,relu6
sub02,sub05,6000,0.9714285714285715,content_loss,VC,fc7
sub02,sub05,6000,0.9697959183673468,content_loss,VC,relu7
sub02,sub05,6000,0.9453061224489795,content_loss,VC,fc8
sub03,sub01,6000,0.8036734693877551,content_loss,VC,conv1
sub03,sub01,6000,0.9567346938775511,content_loss,VC,conv2
sub03,sub01,6000,0.990204081632653,content_loss,VC,conv3
sub03,sub01,6000,0.9910204081632655,content_loss,VC,conv4
sub03,sub01,6000,0.989795918367347,content_loss,VC,conv5
sub03,sub01,6000,0.9689795918367347,content_loss,VC,fc6
sub03,sub01,6000,0.9730612244897959,content_loss,VC,relu6
sub03,sub01,6000,0.9546938775510203,content_loss,VC,fc7
sub03,sub01,6000,0.9514285714285714,content_loss,VC,relu7
sub03,sub01,6000,0.9306122448979592,content_loss,VC,fc8
sub03,sub02,6000,0.7889795918367346,content_loss,VC,conv1
sub03,sub02,6000,0.9477551020408164,content_loss,VC,conv2
sub03,sub02,6000,0.9877551020408164,content_loss,VC,conv3
sub03,sub02,6000,0.9881632653061224,content_loss,VC,conv4
sub03,sub02,6000,0.9885714285714287,content_loss,VC,conv5
sub03,sub02,6000,0.9742857142857143,content_loss,VC,fc6
sub03,sub02,6000,0.9726530612244899,content_loss,VC,relu6
sub03,sub02,6000,0.9575510204081634,content_loss,VC,fc7
sub03,sub02,6000,0.9477551020408163,content_loss,VC,relu7
sub03,sub02,6000,0.9436734693877551,content_loss,VC,fc8
sub03,sub04,6000,0.789795918367347,content_loss,VC,conv1
sub03,sub04,6000,0.9473469387755102,content_loss,VC,conv2
sub03,sub04,6000,0.9889795918367348,content_loss,VC,conv3
sub03,sub04,6000,0.9881632653061224,content_loss,VC,conv4
sub03,sub04,6000,0.9881632653061225,content_loss,VC,conv5
sub03,sub04,6000,0.9759183673469388,content_loss,VC,fc6
sub03,sub04,6000,0.9804081632653062,content_loss,VC,relu6
sub03,sub04,6000,0.9714285714285714,content_loss,VC,fc7
sub03,sub04,6000,0.9673469387755103,content_loss,VC,relu7
sub03,sub04,6000,0.9530612244897959,content_loss,VC,fc8
sub03,sub05,6000,0.7746938775510204,content_loss,VC,conv1
sub03,sub05,6000,0.9461224489795919,content_loss,VC,conv2
sub03,sub05,6000,0.9897959183673468,content_loss,VC,conv3
sub03,sub05,6000,0.9893877551020408,content_loss,VC,conv4
sub03,sub05,6000,0.986530612244898,content_loss,VC,conv5
sub03,sub05,6000,0.9738775510204082,content_loss,VC,fc6
sub03,sub05,6000,0.9808163265306122,content_loss,VC,relu6
sub03,sub05,6000,0.9628571428571427,content_loss,VC,fc7
sub03,sub05,6000,0.9628571428571427,content_loss,VC,relu7
sub03,sub05,6000,0.9310204081632653,content_loss,VC,fc8
