Source,Target,Number of samples,Profile correlation,Pattern correlation,Identification accuracy,Method,ROI,Layer
sub02,sub01,6000,0.316246964952113,0.2766382442338789,0.9783673469387755,content_loss,VC,conv5_4
sub02,sub01,6000,0.3225601825098462,0.31806265364375486,0.993061224489796,content_loss,VC,conv5_3
sub02,sub01,6000,0.3316794567711461,0.33463629378658466,0.9942857142857143,content_loss,VC,conv5_2
sub02,sub01,6000,0.3243243483792901,0.3315738472792724,0.9979591836734695,content_loss,VC,conv5_1
sub02,sub01,6000,0.25866765708127193,0.2514720416798333,0.9971428571428572,content_loss,VC,conv4_4
sub02,sub01,6000,0.2513286961721705,0.2613282494920352,0.9979591836734695,content_loss,VC,conv4_3
sub02,sub01,6000,0.2834086162311734,0.3036994052861969,0.9955102040816327,content_loss,VC,conv4_2
sub02,sub01,6000,0.3053910498138737,0.32387431731505145,0.9967346938775512,content_loss,VC,conv4_1
sub02,sub01,6000,0.2306710700266593,0.24144117279696417,0.9722448979591838,content_loss,VC,conv3_4
sub02,sub01,6000,0.2554963847322855,0.25700891208929394,0.9755102040816327,content_loss,VC,conv3_3
sub02,sub01,6000,0.1990027030449628,0.2123806526360669,0.9824489795918366,content_loss,VC,conv3_2
sub02,sub01,6000,0.17854936327239534,0.19311378209328597,0.9281632653061223,content_loss,VC,conv3_1
sub02,sub01,6000,0.10094056346888655,0.11619721432025923,0.899591836734694,content_loss,VC,conv2_2
sub02,sub01,6000,0.1756637636595823,0.1952247984392908,0.8881632653061224,content_loss,VC,conv2_1
sub02,sub01,6000,0.16996178307742002,0.20115485539744468,0.7926530612244898,content_loss,VC,conv1_2
sub02,sub01,6000,0.20056479011653236,0.22962785354576642,0.8110204081632653,content_loss,VC,conv1_1
sub02,sub03,6000,0.5102263227819468,0.505029301729637,0.9453061224489797,content_loss,VC,fc8
sub02,sub03,6000,0.33174925918010184,0.3576240923468523,0.9804081632653062,content_loss,VC,fc7
sub02,sub03,6000,0.37029689448934994,0.36642042351915116,0.9767346938775511,content_loss,VC,fc6
sub02,sub03,6000,0.316532079959402,0.27887809039935607,0.9795918367346939,content_loss,VC,conv5_4
sub02,sub03,6000,0.32134081662961705,0.31640571978603266,0.993061224489796,content_loss,VC,conv5_3
sub02,sub03,6000,0.3293942162716415,0.33124890602215834,0.9938775510204081,content_loss,VC,conv5_2
sub02,sub03,6000,0.3242050311237454,0.3305340253155781,0.9971428571428572,content_loss,VC,conv5_1
sub02,sub03,6000,0.258258772708707,0.2512033361951731,0.9979591836734695,content_loss,VC,conv4_4
sub02,sub03,6000,0.25202431114742196,0.26126655988079855,0.9983673469387756,content_loss,VC,conv4_3
sub02,sub03,6000,0.28444951560639403,0.3035767173772351,0.9946938775510205,content_loss,VC,conv4_2
sub02,sub03,6000,0.3063279276330504,0.32453901285653736,0.9971428571428572,content_loss,VC,conv4_1
sub02,sub03,6000,0.2323702422813511,0.2431289484710224,0.9714285714285715,content_loss,VC,conv3_4
sub02,sub03,6000,0.25682816728699775,0.25782309821764965,0.9738775510204082,content_loss,VC,conv3_3
sub02,sub03,6000,0.2008612843870332,0.21347786913487496,0.9787755102040816,content_loss,VC,conv3_2
sub02,sub03,6000,0.18126701874218845,0.1940213421057686,0.9257142857142856,content_loss,VC,conv3_1
sub02,sub03,6000,0.10281259746004259,0.11611644732717323,0.9012244897959182,content_loss,VC,conv2_2
sub02,sub03,6000,0.1771441384737772,0.193980966919087,0.889795918367347,content_loss,VC,conv2_1
sub02,sub03,6000,0.17009205082920276,0.1993269554425446,0.7889795918367346,content_loss,VC,conv1_2
sub02,sub03,6000,0.20333123793248775,0.23172002173691642,0.8191836734693878,content_loss,VC,conv1_1
sub02,sub04,6000,0.5115495086930617,0.5096505183700962,0.9485714285714285,content_loss,VC,fc8
sub02,sub04,6000,0.32811259605801657,0.35586340618453904,0.9795918367346939,content_loss,VC,fc7
sub02,sub04,6000,0.3708295690303492,0.3676281697160401,0.9808163265306122,content_loss,VC,fc6
sub02,sub04,6000,0.3177134033290405,0.2786961849058226,0.9808163265306122,content_loss,VC,conv5_4
sub02,sub04,6000,0.3219490339436869,0.317606903548643,0.9926530612244897,content_loss,VC,conv5_3
sub02,sub04,6000,0.3285447988696539,0.33146937054178804,0.9922448979591837,content_loss,VC,conv5_2
sub02,sub04,6000,0.3226828312721201,0.3290607633519799,0.9959183673469388,content_loss,VC,conv5_1
sub02,sub04,6000,0.2593894514292133,0.2508910765278111,0.9967346938775511,content_loss,VC,conv4_4
sub02,sub04,6000,0.25175112151869117,0.26143749585329557,0.9979591836734695,content_loss,VC,conv4_3
sub02,sub04,6000,0.28326131711413094,0.3033413131384289,0.9942857142857143,content_loss,VC,conv4_2
sub02,sub04,6000,0.3061305421375334,0.32495181934955797,0.9963265306122449,content_loss,VC,conv4_1
sub02,sub04,6000,0.23168113868280532,0.24259412652761336,0.969795918367347,content_loss,VC,conv3_4
sub02,sub04,6000,0.2565480317698349,0.2581023354577385,0.973877551020408,content_loss,VC,conv3_3
